acc x,acc y,acc z,accTime,com x,com y,com z,comTime,gyro x,gyro y,gyro z,gyroTime
-0.0242347568274,-0.00347596779466,-1.05048596859,60.8572700024,,,,,4.1,34.81,-5.32,60.8553550243
-0.018682744354,0.0265760440379,-1.04720938206,60.8596811295,,,,,3.94,32.11,-5.35,60.8557591438
-0.0206975787878,0.029319120571,-1.05479443073,60.8620841503,,,,,2.56,30.65,-5.11,60.8561251163
-0.0260156467557,0.00998201407492,-1.04516375065,60.8646249771,,,,,1.4,29.32,-4.52,60.8564920425
-0.022932652384,0.0111066717654,-1.04632842541,60.8670890331,,,,,2.34,29.3,-4.52,60.8568630219
-0.0258970446885,0.0156969856471,-1.03445851803,60.8695020676,,,,,5.23,28.69,-4.91,60.8577890396
-0.0368539690971,0.00413205288351,-1.02855169773,60.8719069958,,,,,4.91,26.03,-4.91,60.8581840992
-0.0454245582223,0.00220037810504,-1.02490699291,60.8743641376,,,,,2.25,23.56,-4.42,60.8585472107
-0.0505111590028,0.00621381215751,-1.0363702774,60.8767681122,,,,,1.05,23.27,-4.24,60.858921051
-0.0477313622832,0.0193152297288,-1.04120624065,60.8792021275,,,,,0.48,23.63,-4.59,60.8592870235
-0.041006565094,0.0282074455172,-1.04194116592,60.8816001415,,,,,0.9,23.39,-4.89,60.8601980209
-0.0465389043093,0.0217818636447,-1.06650471687,60.8840560913,,,,,0.09,19.73,-4.47,60.8605911732
-0.0506938844919,0.0264371987432,-1.07971489429,60.8864581585,,,,,-1.03,18.36,-4.05,60.8609571457
-0.0504915714264,0.0296656955034,-1.07506680489,60.8888549805,,,,,-3.65,16.88,-3.69,60.8613212109
-0.0534499883652,0.0197465214878,-1.0670992136,60.8913271427,,,,,-4.67,16.62,-3.79,60.8616890907
-0.056322067976,0.0151358861476,-1.0671005249,60.8937811852,,,,,-5.22,15.81,-4.0,60.8626000881
-0.0596671551466,0.0253630597144,-1.07471477985,60.8961911201,,,,,-4.93,13.98,-3.39,60.863120079
-0.0495498254895,0.0391022562981,-1.06072700024,60.8986070156,,,,,-4.9,11.19,-2.78,60.8634991646
-0.0383869931102,0.0392463430762,-1.04469752312,60.9010050297,,,,,-5.33,9.81,-2.85,60.8638651371
-0.0495901554823,0.0248598437756,-1.06006836891,60.9034640789,,,,,-6.24,8.68,-3.04,60.8642311096
-0.0474143177271,0.0157720241696,-1.05874717236,60.9058640003,,,,,-7.65,7.25,-3.39,60.8651440144
-0.0385246425867,0.0235145185143,-1.04940640926,60.9082860947,,,,,-6.15,5.95,-2.21,60.8655362129
-0.0516235902905,0.0390191599727,-1.0505361557,60.9106800556,,,,,-5.08,4.71,-1.95,60.8659009933
-0.0579441860318,0.0375229567289,-1.0545938015,60.9131531715,,,,,-4.47,3.06,-2.03,60.8662660122
-0.0433270856738,0.0384841412306,-1.04672586918,60.9155590534,,,,,-5.59,-0.12,-2.79,60.866631031
-0.0413079187274,0.0243868287653,-1.04301965237,60.9179720879,,,,,-6.76,-1.04,-3.34,60.8676171303
-0.0507603436708,0.0100869014859,-1.03845477104,60.9203732014,,,,,-5.65,-0.07,-2.77,60.8680131435
-0.0574959293008,0.0258261803538,-1.03500020504,60.922770977,,,,,-3.71,-0.79,-2.63,60.8683781624
-0.0580188259482,0.0298153255135,-1.03556156158,60.9252340794,,,,,-3.71,-2.11,-2.98,60.8687441349
-0.0496602505445,0.0184839311987,-1.05610013008,60.9276530743,,,,,-4.51,-3.59,-3.48,60.8691082001
-0.0464585274458,0.012173736468,-1.07597792149,60.9300529957,,,,,-6.4,-5.34,-4.22,60.8700251579
-0.0481119528413,0.0268128979951,-1.05888521671,60.9324500561,,,,,-5.37,-3.89,-3.89,60.8704180717
-0.054158039391,0.0478168353438,-1.05435943604,60.9348840714,,,,,-4.92,-3.73,-3.89,60.8707821369
-0.0546536594629,0.0300137419254,-1.0529769659,60.937305212,,,,,-5.04,-4.24,-4.09,60.8711481094
-0.035492643714,0.00856559351087,-1.05679011345,60.939715147,,,,,-6.88,-6.49,-4.54,60.871514082
-0.0335941165686,0.0226545203477,-1.06795966625,60.9421150684,,,,,-7.8,-7.56,-4.54,60.8724300861
-0.044397123158,0.0357059985399,-1.08589148521,60.9445540905,,,,,-6.9,-8.33,-4.14,60.8728690147
-0.044281244278,0.0358914062381,-1.0940130949,60.9469511509,,,,,-6.53,-8.05,-4.12,60.873239994
-0.0490551665425,0.0356034561992,-1.07557547092,60.9493730068,,,,,-7.12,-8.17,-4.31,60.873606205
-0.0487581714988,0.0374452695251,-1.06176805496,60.951772213,,,,,-7.92,-8.63,-4.29,60.8739690781
-0.0401969030499,0.0343789756298,-1.08101975918,60.9542541504,,,,,-8.58,-10.03,-3.77,60.8748810291
-0.0365099459887,0.0374403223395,-1.08776152134,60.956649065,,,,,-6.29,-11.43,-3.55,60.875275135
-0.0303200278431,0.0433291494846,-1.07334458828,60.9590799809,,,,,-4.67,-11.97,-3.67,60.8756401539
-0.0329688191414,0.0340805724263,-1.05391144753,60.9614779949,,,,,-4.61,-11.97,-3.79,60.8760039806
-0.0506345257163,0.0212035197765,-1.05653584003,60.9639151096,,,,,-5.52,-11.72,-3.5,60.8763689995
-0.0564107298851,0.0171684976667,-1.05734407902,60.9663131237,,,,,-5.43,-11.78,-3.17,60.8772861958
-0.0505776405334,0.014501625672,-1.07315969467,60.9687430859,,,,,-1.32,-13.43,-2.97,60.8776910305
-0.0469311848283,0.012588577345,-1.07464456558,60.9711680412,,,,,-0.5,-13.95,-3.13,60.8780930042
-0.0503534376621,0.0163195636123,-1.05599081516,60.9735991955,,,,,-1.17,-13.93,-3.55,60.8784441948
-0.0558011904359,0.018546121195,-1.05178236961,60.9759972095,,,,,-2.22,-13.44,-3.56,60.8788080215
-0.0598527789116,0.0246627312154,-1.05018174648,60.9783921242,,,,,-2.65,-12.78,-3.52,60.879720211
-0.0502442121506,0.0436136648059,-1.06797993183,60.9807851315,,,,,-0.47,-13.6,-3.75,60.8801131248
-0.0340950638056,0.0561121255159,-1.07951807976,60.9832391739,,,,,0.38,-14.65,-4.2,60.8804781437
-0.043266095221,0.0476123020053,-1.09591662884,60.985656023,,,,,-0.34,-14.66,-4.41,60.8808410168
-0.0479607507586,0.0405426025391,-1.0903557539,60.9880530834,,,,,-2.66,-13.67,-4.54,60.8812069893
-0.0566535443068,0.0405923575163,-1.07742333412,60.9904501438,,,,,-3.24,-13.17,-4.49,60.8821179867
-0.0594557747245,0.0394310057163,-1.07601261139,60.9928810596,,,,,-1.13,-13.65,-4.39,60.8825120926
-0.044554784894,0.0359249934554,-1.07509458065,60.9953072071,,,,,-0.54,-13.95,-4.3,60.8829100132
-0.0387235358357,0.0325435400009,-1.06230330467,60.9977140427,,,,,-1.16,-13.64,-4.17,60.8832900524
-0.0475599914789,0.0507254078984,-1.0621008873,61.0001161098,,,,,-2.36,-13.08,-4.06,60.8836610317
-0.0527073442936,0.0701504722238,-1.04939329624,61.0025141239,,,,,-4.68,-12.06,-3.98,60.8845741749
-0.0547113344073,0.0647220611572,-1.07049453259,61.0049891472,,,,,-4.01,-12.25,-4.16,60.8849680424
-0.0483037084341,0.0557609647512,-1.08612060547,61.007392168,,,,,-2.18,-12.41,-4.15,60.8853340149
-0.0528571307659,0.0504865497351,-1.09567940235,61.0097870827,,,,,-1.56,-12.22,-4.16,60.8857011795
-0.0604152008891,0.0616187527776,-1.08557212353,61.0121819973,,,,,-3.11,-11.45,-4.07,60.8860661983
-0.0572441443801,0.0637287721038,-1.0684709549,61.0146160126,,,,,-4.58,-11.14,-4.13,60.8869740963
-0.0529827028513,0.0642132908106,-1.07676506042,61.0170390606,,,,,-4.58,-11.26,-4.38,60.8873670101
-0.0418056249619,0.0699776038527,-1.090015769,61.0194342136,,,,,-3.24,-11.15,-4.29,60.887732029
-0.0303765181452,0.0706575661898,-1.06598222256,61.0218310356,,,,,-1.38,-10.52,-4.05,60.8880980015
-0.0381539165974,0.0910593047738,-1.03479254246,61.0242640972,,,,,-2.1,-10.18,-3.92,60.888461113
-0.0413675904274,0.115447983146,-1.01535880566,61.0266799927,,,,,-4.82,-10.01,-4.08,60.8894240856
-0.0425464585423,0.132397845387,-1.02888214588,61.0291111469,,,,,-4.7,-10.38,-4.29,60.8898210526
-0.0449186339974,0.133845746517,-1.0227265358,61.0315179825,,,,,-2.59,-9.81,-3.91,60.8901951313
-0.0356825664639,0.124853521585,-1.02700901031,61.0339550972,,,,,-2.47,-9.16,-3.61,60.8905670643
-0.034993596375,0.102482035756,-1.03681004047,61.036342144,,,,,-3.33,-8.58,-3.37,60.8909320831
-0.0536542236805,0.0958140864968,-1.02836859226,61.038765192,,,,,-5.98,-9.3,-3.58,60.8918440342
-0.0883502215147,0.0925527587533,-1.03254663944,61.0411651134,,,,,-2.99,-10.16,-3.72,60.8922381401
-0.104743376374,0.0798982679844,-1.03887426853,61.0435900688,,,,,-2.03,-9.6,-3.42,60.892603159
-0.100231789052,0.0698307156563,-1.06026124954,61.0459911823,,,,,-3.44,-7.23,-2.86,60.8930160999
-0.0957702547312,0.0678872987628,-1.07061755657,61.0483880043,,,,,-5.03,-6.52,-2.87,60.8933830261
-0.0938885435462,0.0551426559687,-1.06519556046,61.0508069992,,,,,-5.07,-7.9,-3.59,60.894299984
-0.0981129258871,0.0319106429815,-1.08179938793,61.0532422066,,,,,-0.18,-10.01,-4.25,60.8946931362
-0.0901209488511,0.0329056754708,-1.09401595592,61.0556399822,,,,,0.75,-8.24,-3.9,60.8950572014
-0.081330947578,0.03541213274,-1.11368763447,61.0580341816,,,,,-1.12,-6.44,-3.83,60.8954231739
-0.0730704516172,0.0311045628041,-1.12378299236,61.0604281425,,,,,-3.62,-5.18,-4.01,60.8957881927
-0.0504322499037,0.0571970120072,-1.04244220257,61.0638570786,,,,,-4.56,-6.51,-5.16,60.8967080116
-0.0378983393312,0.0562451183796,-1.04420626163,61.0662531853,,,,,1.69,-9.62,-5.42,60.8971011639
-0.0409286394715,0.0440139174461,-1.04845035076,61.0686480999,,,,,0.98,-8.22,-4.78,60.8974671364
-0.0497487261891,0.0499772801995,-1.03131866455,61.0710501671,,,,,-1.68,-6.21,-4.19,60.8978421688
-0.059173874557,0.0549643039703,-1.03609478474,61.0735051632,,,,,-7.87,-4.54,-4.06,60.8982131481
-0.0658440738916,0.0370631664991,-1.04920184612,61.0759050846,,,,,-8.34,-5.77,-4.52,60.8991241455
-0.0600868314505,0.0484721064568,-1.04398870468,61.078305006,,,,,-2.02,-8.66,-4.72,60.8995170593
-0.0487352237105,0.0777005702257,-1.02918457985,61.0807161331,,,,,-1.86,-7.1,-4.04,60.8998811245
-0.0517710000277,0.0780809223652,-1.02585852146,61.0831429958,,,,,-6.65,-3.49,-3.02,60.9002451897
-0.0586389154196,0.0508454889059,-1.04282426834,61.0855619907,,,,,-9.27,-3.37,-3.16,60.9006111622
-0.057736851275,0.0413986891508,-1.05086147785,61.0879590511,,,,,-9.81,-6.09,-4.28,60.9015481472
-0.0549736022949,0.0671755820513,-1.05696082115,61.0903561115,,,,,-5.12,-4.97,-4.41,60.9019420147
-0.0450210943818,0.0956142470241,-1.04207479954,61.0927531719,,,,,-5.67,-3.0,-3.91,60.9023079872
-0.0398284941912,0.0880702883005,-1.0280469656,61.0951859951,,,,,-6.91,-1.91,-3.54,60.9026720524
-0.0436735376716,0.0677917450666,-1.0307867527,61.0976040363,,,,,-9.19,-3.96,-3.58,60.903067112
-0.0511441454291,0.0742250829935,-1.02531719208,61.1000020504,,,,,-9.22,-5.92,-3.82,60.9039812088
-0.0584147125483,0.0668217688799,-1.05133581161,61.1023991108,,,,,-7.87,-5.21,-3.21,60.9043750763
-0.0654640048742,0.0661839172244,-1.05053567886,61.1048281193,,,,,-8.22,-3.28,-2.72,60.9047400951
-0.0657079517841,0.0837358385324,-1.06597328186,61.1072380543,,,,,-8.13,-2.78,-2.53,60.905105114
-0.0575621277094,0.0760551989079,-1.08711588383,61.1096410751,,,,,-7.47,-4.57,-2.85,60.9054691792
-0.0725019276142,0.0805652961135,-1.08002340794,61.1120400429,,,,,-5.78,-7.96,-3.56,60.9063830376
-0.0824331715703,0.091318115592,-1.06762397289,61.1144771576,,,,,-6.56,-5.98,-3.21,60.9067912102
-0.0668734908104,0.0901174917817,-1.05861282349,61.1168730259,,,,,-8.13,-2.35,-2.87,60.9071609974
-0.0531822815537,0.0825579240918,-1.04962110519,61.1512989998,,,,,-7.67,-2.39,-3.07,60.907528162
-0.0455264151096,0.0878857523203,-1.03611302376,61.1537361145,,,,,-4.05,-6.02,-3.9,60.9078919888
-0.0465250983834,0.0831223800778,-1.01856899261,61.1561300755,,,,,-2.43,-7.61,-4.04,60.9087979794
-0.0521696954966,0.0658776760101,-1.02202558517,61.1585321426,,,,,-4.56,-4.94,-2.69,60.9091911316
-0.0544128119946,0.0638225823641,-1.01175534725,61.1609311104,,,,,-6.54,-3.39,-2.23,60.9095571041
-0.0615801438689,0.0726670473814,-1.01776909828,61.2005870342,,,,,-7.05,-3.99,-2.21,60.909922123
-0.0626495927572,0.0822618827224,-1.01638948917,61.2030241489,,,,,-5.23,-5.76,-2.47,60.9102871418
-0.0627484470606,0.0671631619334,-1.03268563747,61.2054259777,,,,,-1.13,-7.87,-2.8,60.9111981392
-0.0574183911085,0.0539995580912,-1.028881073,61.2078239918,,,,,-1.54,-5.55,-2.67,60.9115931988
-0.0451682060957,0.0694128349423,-1.02557742596,61.2452590466,,,,,-5.44,-2.83,-2.57,60.9119591713
-0.0351900681853,0.0792067572474,-1.02939784527,61.2476670742,,,,,-6.1,-3.0,-2.68,60.9123241901
-0.0457282215357,0.0812824591994,-1.03455376625,61.2501070499,,,,,-3.24,-5.27,-3.03,60.9126901627
-0.0551138594747,0.0685607716441,-1.05026853085,61.2525081635,,,,,-0.67,-5.9,-3.3,60.9136760235
-0.0434201210737,0.0788277834654,-1.03652882576,61.2549540997,,,,,0.35,-2.74,-3.56,60.9140691757
