acc x,acc y,acc z,accTime,com x,com y,com z,comTime,gyro x,gyro y,gyro z,gyroTime
0.00296583399177,0.0437803044915,-1.13286697865,40.8591990471,,,,,-1.66,-3.43,0.03,40.8580532074
0.00116543669719,0.0645266324282,-1.12385118008,40.8617072105,,,,,-4.11,-3.17,-0.46,40.8584260941
-0.00646354071796,0.0625541806221,-1.12112057209,40.8642101288,,,,,-5.14,-1.86,-1.01,40.8587920666
-0.0127194598317,0.0402366667986,-1.11241400242,40.8666269779,,,,,-1.39,1.07,-1.84,40.8597230911
-0.0109350979328,0.0371778309345,-1.11326098442,40.8690330982,,,,,7.25,-0.61,-1.33,40.8601272106
-0.0115708783269,0.0337324291468,-1.1218547821,40.8714411259,,,,,6.29,-1.31,-0.89,40.8604941368
-0.00845642574131,0.0379993319511,-1.1216006279,40.8739221096,,,,,3.26,-1.3,-0.58,40.8608601093
0.00276583619416,0.0350491255522,-1.11520540714,40.8763329983,,,,,-4.68,0.0,-0.57,40.8612980843
0.00282330065966,0.0265838000923,-1.09509205818,40.8787322044,,,,,-6.78,0.45,-0.75,40.8622272015
0.004135414958,0.0439513102174,-1.102419734,40.8811471462,,,,,-1.39,0.35,-0.45,40.862621069
0.00536682829261,0.0468277037144,-1.11386680603,40.8835811615,,,,,1.27,0.84,-0.18,40.8630721569
0.0138082858175,0.0234363283962,-1.11137747765,40.8860161304,,,,,1.32,1.93,-0.2,40.8634440899
0.009755641222,0.0257587153465,-1.09813666344,40.8884282112,,,,,-1.39,1.85,-0.64,40.8638141155
-0.00715744681656,0.0573136880994,-1.10732865334,40.8908221722,,,,,-7.1,0.56,-1.98,40.8647282124
-0.00468218512833,0.0557805970311,-1.10641419888,40.8932759762,,,,,-2.02,2.76,-2.63,40.8651211262
-0.0121378339827,0.0312156137079,-1.11322200298,40.8956952095,,,,,2.92,4.16,-2.42,40.8654870987
-0.0140901729465,0.0421278700233,-1.11353385448,40.8981029987,,,,,7.07,4.73,-2.19,40.8658621311
-0.0121144987643,0.0568619966507,-1.11844050884,40.9005041122,,,,,8.16,2.34,-2.12,40.8662340641
-0.0156053155661,0.0411389023066,-1.10519587994,40.9029481411,,,,,4.84,0.58,-2.27,40.8671460152
-0.0087987408042,0.026889802888,-1.10957586765,40.9053490162,,,,,-3.07,1.68,-2.71,40.8675410748
-0.00196913443506,0.0266082007438,-1.13561832905,40.9077720642,,,,,-0.63,3.46,-2.65,40.8679070473
-0.00235624238849,0.0411312580109,-1.12927567959,40.9102110863,,,,,8.21,4.57,-2.41,40.8682711124
-0.00541338510811,0.0324327275157,-1.11790311337,40.9126050472,,,,,10.49,3.5,-2.39,40.868637085
