acc x,acc y,acc z,accTime,com x,com y,com z,comTime,gyro x,gyro y,gyro z,gyroTime
0.00683477334678,0.0666392967105,-0.911980688572,20.907307148,,,,,1.0,6.48,-1.47,20.9053661823
0.00724703632295,0.061644166708,-0.912489593029,20.9097130299,,,,,3.78,5.31,-0.85,20.9057910442
0.00770147144794,0.0429037511349,-0.910797417164,20.9121119976,,,,,6.41,5.44,-0.66,20.9061620235
0.00207380577922,0.0404757782817,-0.92458409071,20.914632082,,,,,7.53,5.68,-0.41,20.9065291882
0.00591701362282,0.0547881275415,-0.92859351635,20.9170911312,,,,,3.98,5.53,0.15,20.9068992138
0.000912292045541,0.0529254078865,-0.934980690479,20.9195051193,,,,,0.26,5.18,0.55,20.9078221321
-0.005964204669,0.0565673112869,-0.914298713207,20.921900034,,,,,-1.89,4.22,1.26,20.9082159996
-0.000775661203079,0.0566720962524,-0.90623497963,20.9243590832,,,,,0.79,4.69,1.25,20.9085800648
-0.00855364277959,0.0514089986682,-0.904346227646,20.9267630577,,,,,4.18,5.86,1.12,20.9089481831
-0.0127672739327,0.0694403126836,-0.893279850483,20.9292011261,,,,,3.43,5.93,1.09,20.9093141556
-0.00843722373247,0.0701699852943,-0.913591980934,20.9315931797,,,,,-1.25,5.09,1.23,20.9102330208
-0.00750801153481,0.0440534427762,-0.917416155338,20.9340441227,,,,,0.44,4.15,1.04,20.9106249809
-0.00577581673861,0.0516817644238,-0.923696398735,20.9364230633,,,,,3.01,4.9,0.67,20.9109899998
-0.00161373231094,0.0595624595881,-0.932264924049,20.9388141632,,,,,4.48,5.84,0.3,20.9113550186
0.000180427101441,0.035328373313,-0.924987018108,20.9412481785,,,,,3.22,6.82,-0.19,20.9117190838
0.00167167943437,0.0299308504909,-0.916503250599,20.9436872005,,,,,1.62,6.59,-0.25,20.9126281738
0.000589655828662,0.0399169921875,-0.918289363384,20.9460849762,,,,,4.23,4.15,-0.13,20.9131331444
-0.00538873299956,0.0488914474845,-0.930550515652,20.9484941959,,,,,7.17,4.01,-0.27,20.9135069847
-0.00970200076699,0.0707183256745,-0.933670938015,20.9508900642,,,,,8.43,5.23,-0.49,20.9138720036
-0.00133452180307,0.0632330402732,-0.924144208431,20.9533400536,,,,,6.64,5.77,-0.57,20.9142360687
0.00913350377232,0.0597736239433,-0.920848608017,20.9557352066,,,,,2.8,5.59,-0.68,20.9151492119
-0.00404481589794,0.0711335167289,-0.908430039883,20.9581670761,,,,,5.21,3.77,-0.79,20.9155421257
-0.00535721704364,0.0672665312886,-0.893754780293,20.9605619907,,,,,9.73,3.36,-0.77,20.9159061909
3.04115237668e-05,0.0600316524506,-0.900505840778,20.9630219936,,,,,8.95,4.13,-0.67,20.9162700176
-0.00683604180813,0.054243221879,-0.907613396645,20.9654231071,,,,,1.71,5.78,-0.67,20.9166820049
-0.0141003802419,0.0536518841982,-0.93524068594,20.9678311348,,,,,-1.56,6.12,-1.07,20.9176189899
-0.00700211152434,0.0563934370875,-0.938149571419,20.9702281952,,,,,2.63,5.75,-2.73,20.9180190563
-0.00421569868922,0.0586836487055,-0.945086181164,20.9726212025,,,,,6.3,6.16,-2.82,20.9183850288
-0.00315742008388,0.0709713101387,-0.923243284225,20.9750812054,,,,,6.05,8.09,-1.89,20.9187471867
-0.000778701039962,0.0651651322842,-0.907824099064,20.97747612,,,,,1.91,8.63,-1.39,20.9191122055
-0.00632554851472,0.0471260845661,-0.920049965382,20.9798710346,,,,,-5.78,7.97,-1.68,20.9200201035
-0.0207677148283,0.046650275588,-0.920765757561,20.9822640419,,,,,-3.65,7.25,-2.85,20.9204120636
-0.0164344832301,0.0561645105481,-0.933763623238,20.9846940041,,,,,3.84,8.56,-2.73,20.9207780361
-0.0010095591424,0.0637527629733,-0.942726194859,20.9871101379,,,,,4.54,9.67,-2.07,20.9211421013
-0.00547418184578,0.0660629719496,-0.933974146843,20.9895200729,,,,,-2.65,9.83,-1.09,20.9215071201
-0.0168878026307,0.0583802387118,-0.920731246471,20.9919140339,,,,,-7.53,8.85,-1.42,20.9224209785
-0.014074344188,0.0467756763101,-0.91895788908,20.9943380356,,,,,-8.57,7.31,-3.98,20.9228610992
-0.011395290494,0.0423081889749,-0.925449132919,20.9967300892,,,,,-4.61,8.25,-4.14,20.923235178
-0.0205347202718,0.0558125078678,-0.931074976921,20.9991531372,,,,,-0.12,10.56,-3.17,20.9236011505
