acc x,acc y,acc z,accTime,com x,com y,com z,comTime,gyro x,gyro y,gyro z,gyroTime
0.0316133834422,-0.0210861731321,-1.03574705124,80.8564050198,,,,,-46.53,-7.71,-176.45,80.8569521904
0.0320130176842,-0.00585041753948,-1.03868770599,80.8588311672,,,,,-37.32,-6.53,-175.42,80.8573470116
0.0278088692576,3.76496464014e-05,-1.04114055634,80.861232996,,,,,-38.36,-7.41,-175.26,80.8577079773
0.0143631733954,-0.00277765095234,-1.03626525402,80.8637781143,,,,,-41.93,-8.76,-175.52,80.8580691814
0.0162172894925,-0.0097603816539,-1.05834615231,80.8661701679,,,,,-49.98,-9.92,-176.94,80.858438015
0.0217136107385,-0.033618979156,-1.08062911034,80.8686420918,,,,,-50.36,-9.01,-177.56,80.8593430519
0.0217533521354,-0.0306219290942,-1.08030331135,80.8710579872,,,,,-37.62,-5.07,-176.44,80.8597331047
0.0253086648881,-0.0137297585607,-1.07046663761,80.8734560013,,,,,-35.28,-5.55,-175.68,80.8600940704
0.0227215513587,-0.00630185659975,-1.03707182407,80.8758480549,,,,,-40.62,-8.27,-175.34,80.860476017
0.0184309389442,0.0115517582744,-1.03022444248,80.8782491684,,,,,-45.44,-8.94,-175.86,80.8608431816
0.0178920496255,0.0134843792766,-1.04046666622,80.8806672096,,,,,-49.1,-7.07,-176.82,80.8618130684
0.0198025628924,-0.0096185579896,-1.05808508396,80.8830630779,,,,,-42.04,-3.96,-175.66,80.8622050285
0.015780556947,-0.0101003721356,-1.06584489346,80.8854980469,,,,,-36.12,-5.08,-173.28,80.86256814
0.00446894578636,-0.0102713722736,-1.06212306023,80.8878819942,,,,,-37.69,-6.93,-172.51,80.8630311489
0.017337333411,-0.020295901224,-1.06218147278,80.8902590275,,,,,-47.66,-9.56,-172.5,80.8633999825
0.0113174151629,-0.00526690203696,-1.02674686909,80.8926670551,,,,,-52.48,-9.23,-172.91,80.8642911911
-0.000537453102879,0.0103273242712,-1.02312135696,80.8951561451,,,,,-51.5,-5.61,-172.25,80.8646891117
0.0115922428668,-0.00174625217915,-1.0390805006,80.8975222111,,,,,-47.49,-5.48,-171.45,80.8650541306
0.0160717517138,-0.0149398166686,-1.0444278717,80.8999180794,,,,,-44.28,-7.26,-170.79,80.86541605
0.00837535876781,-0.00873300619423,-1.049664855,80.9023411274,,,,,-46.79,-8.1,-171.21,80.8657770157
0.00174555380363,-0.0098878107965,-1.04785633087,80.9048550129,,,,,-54.69,-7.63,-173.1,80.8666820526
0.000448592123576,-0.0167587194592,-1.03206896782,80.9072260857,,,,,-55.48,-5.32,-174.06,80.8670721054
-0.00349151156843,-0.00733832456172,-1.02506649494,80.9096591473,,,,,-47.02,-3.98,-173.56,80.8674941063
0.00562950968742,0.00841236300766,-1.03292858601,80.912042141,,,,,-43.41,-4.16,-173.36,80.8678591251
0.0138791520149,0.011737620458,-1.04097545147,80.9144849777,,,,,-43.86,-5.47,-174.02,80.8682200909
0.0140333138406,-0.00318415462971,-1.03447794914,80.9168720245,,,,,-47.01,-5.98,-174.82,80.8691589832
